epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	9.6784	15.6845	16.2162	9.9099	4.5045
2	20.1054	18.8571	19.2469	15.8996	8.3682
3	24.0849	32.8718	29.8851	23.5632	13.7931
4	41.4206	40.1730	44.6541	35.2201	25.7862
5	48.6174	47.5828	49.3671	44.9367	36.0759
6	47.3110	37.5402	41.4414	36.0360	30.1802
7	56.1981	48.7516	50.5800	47.3318	39.4432
8	59.6588	48.2719	53.8272	50.3704	41.9753
9	65.8346	56.4369	59.5122	56.5854	49.2683
10	59.1711	45.7083	51.2690	49.2386	40.1015
11	78.7267	71.3370	75.2632	72.6316	64.2105
12	79.1024	69.2533	74.2268	73.1959	64.4330
13	64.9785	60.9143	63.9386	60.8696	51.6624
14	78.7231	68.6821	75.7895	75.2632	66.3158
15	81.4518	72.6595	78.5530	76.4858	68.2171
16	79.2072	71.2823	77.4869	76.4398	67.5393
17	81.4664	73.6292	81.5584	79.4805	71.6883
18	84.7502	74.8739	82.2917	80.7292	72.9167
19	76.3272	70.1344	77.1208	74.5501	67.8663
20	79.1288	75.0862	79.7844	77.6280	70.6199
21	79.9138	71.2419	77.6280	76.0108	69.5418
22	82.1811	73.5968	81.1828	79.0323	72.0430
23	81.2293	74.1295	79.8928	78.2842	69.7051
24	81.9787	74.2811	80.7292	77.6042	70.3125
25	79.9247	70.8492	78.1915	75.5319	69.6809
26	84.0720	73.2261	80.4290	79.3566	74.5308
27	85.0702	75.0335	83.8710	83.3333	76.3441
28	82.0398	73.3793	81.1671	79.5756	72.1485
29	81.6751	72.7112	79.8982	76.8448	70.7379
30	82.2923	75.2444	81.4016	78.7062	74.9326
31	84.0583	78.9758	82.8496	81.2665	74.9340
32	84.5506	77.8453	84.4784	82.4427	73.7913
33	80.6103	77.2439	82.1990	79.5812	73.8220
34	86.7514	77.8869	85.6383	83.5106	80.3191
35	83.0664	77.3130	83.2000	81.0667	73.6000
36	85.7102	75.9035	86.0104	84.9741	77.2021
37	84.2178	76.1689	83.1099	81.5013	76.1394
38	87.4598	79.3418	86.0892	84.5144	80.8399
39	84.7256	76.9348	84.0970	82.4798	77.0889
40	84.1959	76.3212	84.8649	82.1622	76.2162
41	85.3392	77.8227	83.7333	82.1333	77.3333
42	87.0067	79.7018	86.7021	84.5745	81.3830
43	87.0896	77.8607	86.1619	84.0731	80.4178
44	85.6410	76.8764	83.8542	81.7708	77.6042
45	84.1731	77.6813	85.7909	81.5013	73.9946
46	83.5787	74.8216	81.6000	79.4667	74.1333
47	82.7947	73.6359	83.1522	78.8043	75.0000
48	83.1612	73.6734	82.7225	80.1047	76.4398
49	86.1725	78.8530	85.2547	83.1099	80.4290
50	84.6390	77.8069	85.6383	81.9149	76.5957
