epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	15.1472	30.7598	26.6293	20.2300	12.0613
2	19.5394	38.7792	36.3218	28.3415	17.4384
3	34.5453	50.6049	49.5312	41.5778	29.2596
4	38.9229	48.6810	48.0887	41.1054	29.4556
5	37.5390	53.2583	50.5677	42.9886	30.7149
6	42.5902	51.7628	50.7307	43.8434	33.4621
7	41.8164	54.1220	54.6074	47.2833	35.8031
8	49.8511	53.0706	54.9315	49.0137	36.1752
9	52.9066	59.7500	60.4434	52.9088	41.2069
10	55.7400	65.6484	66.1304	59.2593	46.5225
11	47.4562	60.0194	61.0684	54.4457	42.5906
12	58.7228	65.3731	66.5087	59.9425	48.4007
13	52.3164	62.9744	62.9630	56.7677	43.0303
14	52.3869	66.1675	65.4366	59.3740	47.1170
15	63.3811	65.4531	67.3942	61.6402	48.3466
16	63.0591	65.1913	66.7684	60.5629	48.6267
17	62.4853	61.5545	65.5041	59.4268	47.8246
18	63.9967	69.5401	69.8884	64.4559	51.5247
19	59.1215	67.2237	67.4722	61.0385	48.1385
20	64.5394	74.3124	74.1891	68.3575	56.6598
21	55.0182	64.5512	65.1301	59.4337	46.8225
22	65.0045	70.8925	72.0637	65.9747	54.0045
23	64.9547	64.4133	66.9083	62.1785	50.5092
24	68.7194	72.4227	72.9605	68.2743	57.1575
25	39.9763	57.6612	56.9014	51.4664	38.3761
26	64.5048	69.5801	71.5949	66.4979	54.0759
27	62.2636	71.1104	71.9389	66.1904	53.9292
28	62.5967	61.5421	65.1862	59.1732	46.8056
29	38.7679	46.8672	46.7429	41.0949	31.2543
30	66.3386	72.0695	73.2857	67.1108	53.0387
31	65.6922	66.9538	69.7995	64.5068	51.3232
32	66.7945	72.2222	74.1310	68.1223	56.2096
33	65.2649	73.5971	74.1361	68.5429	56.4660
34	65.2756	72.8888	73.5641	68.3820	56.1334
35	66.5125	73.7044	74.4338	69.0803	57.1036
36	66.9661	65.7581	68.9024	63.1636	50.5739
37	65.0433	70.6763	71.1111	65.7978	52.5982
38	67.5321	74.5303	76.1694	70.2160	57.7649
39	69.9780	73.8752	75.7702	70.3358	58.0824
40	68.2476	69.1029	71.8977	66.5399	53.9924
41	70.5864	74.8555	76.5614	71.4035	59.0526
42	66.4273	72.9330	73.4680	67.3402	53.3289
43	70.6810	73.8083	76.1389	70.3788	57.7064
44	61.3892	62.3118	64.3896	59.4860	47.9202
45	60.6497	72.3985	72.4983	66.7461	53.5398
46	67.3448	71.8602	73.3894	68.2773	55.9174
47	69.8492	74.2869	75.2188	70.1085	58.3129
48	64.8287	68.7145	70.2107	64.3186	52.8637
49	62.8557	61.2184	65.4610	60.1773	48.1206
50	66.5871	73.1090	75.0043	69.6073	58.6750
