epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	14.6286	5.4994	5.7971	0.0000	0.0000
2	21.3617	12.0192	16.4384	2.7397	0.0000
3	21.5882	25.1476	18.1818	6.0606	0.0000
4	20.2748	26.5422	21.7143	8.0000	3.4286
5	26.5550	30.4028	28.2609	17.3913	6.5217
6	48.8979	55.1301	58.1197	53.8462	40.1709
7	63.1190	69.2084	76.0684	70.0855	44.4444
8	59.7222	70.1013	72.3404	67.2340	44.2553
9	65.5495	70.6347	79.4979	73.6402	52.7197
10	68.9915	71.3428	80.3419	75.2137	52.9915
11	67.0139	73.4717	80.5085	77.9661	56.7797
12	71.7995	77.3353	82.7004	78.4810	56.5401
13	71.6335	74.2370	82.4034	80.6867	56.6524
14	72.3430	73.7840	81.8966	78.4483	56.8966
15	72.2373	73.7500	83.2618	80.6867	59.2275
16	71.3164	79.7990	86.4198	84.7737	62.5514
17	72.8865	73.4439	82.7586	81.8966	62.0690
18	72.9921	76.6497	84.7458	80.5085	61.8644
19	73.7319	76.3435	84.7458	79.6610	63.5593
20	71.2258	74.0870	81.5451	77.2532	61.8026
21	71.1051	77.0238	83.6820	80.3347	62.7615
22	72.8412	79.5238	87.9668	82.9876	63.0705
23	71.2560	79.3769	86.7769	81.8182	60.3306
24	75.5737	76.9643	85.2321	83.5443	66.6667
25	75.1812	80.2721	87.9668	82.9876	65.5602
26	73.9281	76.9589	85.2321	81.8565	65.8228
27	71.7240	76.1820	84.3882	83.5443	64.9789
28	75.4378	81.4378	89.3443	87.7049	70.4918
29	73.0374	80.0765	85.9504	84.2975	71.0744
30	73.8074	78.8095	85.8333	83.3333	65.8333
31	73.7621	78.5034	86.6667	85.0000	71.6667
32	75.0755	77.9198	86.6667	85.8333	73.3333
33	74.9698	81.2245	87.6033	85.9504	68.5950
34	77.2192	80.6772	87.6033	85.9504	76.0331
35	74.7283	81.1008	87.2428	86.4198	71.6049
36	76.5851	85.5156	90.3226	87.0968	76.6129
37	76.1926	79.7549	87.9668	86.3071	71.3693
38	76.1473	84.9443	90.7631	89.1566	77.9116
39	74.1999	80.5473	88.0658	86.4198	71.6049
40	75.0000	80.8534	87.2428	85.5967	72.4280
41	75.8001	84.4086	89.1566	87.5502	72.2892
42	74.6528	81.5677	88.5246	87.7049	74.5902
43	76.7059	79.2826	87.5000	85.8333	70.0000
44	77.9891	84.0167	90.3226	89.5161	75.8065
45	76.3285	83.7469	89.8785	89.0688	76.9231
46	79.4988	83.4400	89.7959	87.3469	77.5510
47	75.5284	80.1732	85.9504	85.1240	71.9008
48	74.6830	80.4507	87.9668	86.3071	74.6888
49	75.6039	85.8897	89.6000	88.8000	78.4000
50	75.5586	81.8328	89.3443	85.2459	72.1311
