epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	38.1932	8.4140	9.7639	7.4034	4.6137
2	50.3964	13.8023	19.7635	15.7095	9.2905
3	57.3130	24.0533	29.8765	26.1728	19.5062
4	67.0452	30.0210	36.1001	31.8841	25.0329
5	46.4575	28.9504	34.2229	28.5714	21.3501
6	70.7564	37.0290	46.4000	41.9200	33.2800
7	72.6434	31.6672	38.6928	35.0327	29.0196
8	80.0101	47.9262	56.7986	51.9793	47.1601
9	79.3780	48.4430	54.7009	52.9915	46.8376
10	79.0009	48.3280	57.8755	55.3114	47.2527
11	79.1315	48.4997	57.0922	54.2553	47.5177
12	77.5039	51.3857	59.1876	56.0928	47.9691
13	76.1030	42.4973	54.1599	49.9184	39.1517
14	71.9838	37.4842	47.1125	43.4650	35.5623
15	66.7420	31.2600	38.6577	34.0940	24.9664
16	72.4407	32.6066	41.1189	38.0420	31.0490
17	77.7976	44.0147	51.6234	49.0260	43.5065
18	81.3105	48.2756	56.8458	53.7262	45.7539
19	79.0877	50.9186	58.0645	55.5556	46.2366
20	82.1213	51.2738	57.7391	54.2609	48.0000
21	80.3537	50.8627	58.3630	54.8043	48.3986
22	83.1391	49.8871	58.9878	56.1955	50.6108
23	83.4715	52.1073	60.2888	58.4838	50.1805
24	83.2473	54.6523	64.3939	61.7424	54.5455
25	83.2868	52.7581	61.3718	58.1227	51.9856
26	82.6821	53.3195	61.5665	58.2878	52.0947
27	82.8539	53.0188	60.9800	57.7132	51.1797
28	82.4958	51.6544	62.3616	59.0406	52.0295
29	82.9544	55.7195	65.4971	63.1579	56.5302
30	82.7904	52.7028	62.0939	57.7617	50.9025
31	83.3401	55.5029	64.6388	61.9772	55.5133
32	83.2774	50.8488	60.4982	57.2954	50.5338
33	83.5453	53.4877	61.4004	59.6050	52.4237
34	82.8118	53.2470	62.5926	60.0000	51.8519
35	83.4062	52.5918	63.4862	60.1835	53.2110
36	82.2510	49.1839	58.2624	54.5145	47.7002
37	82.6452	46.1896	56.3758	54.3624	47.3154
38	83.3590	53.5211	61.8962	59.0340	52.2361
39	81.9332	50.5937	60.2837	57.0922	51.7730
40	83.0403	51.3182	59.6491	56.4912	49.8246
41	83.5780	53.8830	63.0237	59.3807	53.9162
42	83.2241	48.7046	56.9514	54.2714	49.2462
43	83.3229	54.1508	62.1572	60.3291	54.8446
44	82.6693	48.1852	58.8441	57.0928	50.4378
45	83.9859	51.6901	60.9929	58.5106	52.8369
46	84.0495	56.1651	65.2427	63.6893	56.6990
47	82.8359	47.7633	56.4189	54.7297	48.9865
48	80.2137	44.1320	56.0403	52.6846	46.3087
49	80.6225	46.4879	56.9444	53.4722	46.5278
50	55.3659	17.1831	22.1114	18.2876	12.9676
