epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	14.1749	4.2924	4.3700	4.1515	3.1318
2	26.7946	34.2182	19.8095	15.7266	7.8331
3	36.9240	33.6215	22.7906	18.5021	9.9250
4	37.4016	26.7071	19.8120	16.0277	9.8689
5	45.2117	23.4949	14.1808	11.0879	6.8352
6	42.0615	21.1371	15.1315	12.6752	8.2034
7	47.2162	28.4361	16.2525	13.3366	8.6481
8	53.3586	31.3482	22.1713	18.6107	12.2761
9	51.8968	30.8762	23.7258	19.8374	13.5764
10	52.6912	29.2540	21.9181	18.5511	12.2515
11	48.3331	29.3449	21.8550	18.0494	11.6995
12	51.5251	29.8147	23.0440	19.1155	12.4218
13	56.5775	35.1213	30.7101	26.0709	18.1585
14	56.7088	37.2860	28.3787	24.5033	17.4883
15	50.0793	34.8651	25.4520	21.4466	14.8318
16	58.1821	37.7715	27.8103	24.3937	17.7995
17	58.4480	38.2060	30.3567	26.4906	19.1669
18	55.3421	33.6936	25.6941	21.9053	15.8302
19	61.4613	35.1534	25.7741	22.4642	16.4852
20	58.9323	35.5600	26.6636	23.3887	16.9783
21	54.9131	34.3126	24.0062	20.8337	14.7210
22	66.0622	38.8018	31.5946	28.2741	21.3852
23	61.6048	39.3368	31.0066	27.3900	20.4097
24	57.5711	37.8335	28.9831	25.7869	19.0073
25	59.4299	36.3739	26.3773	23.2610	17.0061
26	60.8343	36.9624	26.0255	23.0518	17.2730
27	63.6369	39.5803	27.4058	24.1242	18.4479
28	51.1869	34.6359	22.8039	20.0980	14.4706
29	61.6841	34.2438	28.3621	25.0429	18.7479
30	61.4718	36.8938	27.0373	23.5990	17.6602
31	62.9988	34.0292	23.9379	20.9481	15.9902
32	64.3468	34.2217	26.6183	23.1590	18.2289
33	62.6271	36.5501	25.6604	22.9067	17.1953
34	62.9901	35.2388	23.5968	21.1041	16.1743
35	64.5065	36.1301	26.8254	23.7277	18.3121
36	65.5405	34.4808	26.4685	23.0241	17.5295
37	63.9084	35.8788	25.2766	22.4140	17.3383
38	65.1511	35.2593	23.9056	21.3805	16.2013
39	64.5130	31.1825	23.8765	20.9728	16.0718
40	62.5549	31.4575	22.7188	19.6030	14.9025
41	65.9295	33.8821	24.1678	21.4639	16.2984
42	64.2655	35.3737	27.0747	23.9004	17.9461
43	66.0321	34.1769	24.7729	22.1256	16.9469
44	64.4119	35.1414	25.7146	22.5028	16.8064
45	67.2911	36.6105	26.8901	24.1390	18.4300
46	66.4987	38.7020	29.3512	26.2864	20.2237
47	65.6414	31.3314	23.4557	20.6159	15.8399
48	65.1541	35.5465	26.0297	23.1004	18.1068
49	65.5472	33.6260	24.6205	21.7142	16.2903
50	62.2988	29.4365	20.6324	17.8727	13.1253
