epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	47.5430	37.8210	38.9831	33.3333	19.7740
2	51.5602	48.4656	50.0000	40.9091	22.0779
3	54.9877	48.6735	51.7241	46.8966	31.7241
4	54.9509	52.5683	53.3784	44.5946	25.6757
5	63.0835	61.8013	66.9145	61.7100	44.6097
6	54.2629	53.4361	62.0690	48.2759	37.9310
7	69.5086	63.0911	71.8644	68.4746	52.2034
8	67.7150	68.8623	69.7183	66.1972	51.4085
9	66.0811	60.6027	65.0155	61.3003	47.6780
10	67.0147	65.2755	69.0141	64.7887	42.9577
11	73.0835	70.7164	77.0318	73.4982	58.6572
12	71.7076	71.3181	75.0000	72.2973	54.7297
13	74.2506	70.4045	77.8947	73.6842	55.4386
14	73.9803	71.6643	76.3514	69.5946	54.7297
15	70.6757	71.9599	76.3514	71.6216	53.3784
16	68.3047	69.0050	71.0526	62.5000	51.9737
17	73.3538	70.3785	75.4967	69.5364	53.6424
18	70.5037	65.5424	76.2542	72.9097	55.5184
19	72.1867	67.4479	75.0000	70.2703	54.7297
20	74.0418	72.9779	79.0378	73.5395	62.5430
21	76.1916	72.4325	79.3220	75.2542	61.6949
22	73.4398	68.4586	75.0000	72.9730	57.4324
23	74.6683	74.9151	81.2721	77.7385	61.4841
24	70.2580	66.8485	72.9642	69.7068	52.1173
25	71.8673	67.8516	75.5102	69.3878	55.7823
26	67.1130	65.2985	72.2222	67.3611	54.8611
27	64.0295	54.9684	60.3448	53.4483	41.3793
28	66.3022	67.6676	71.4286	68.5714	50.7143
29	68.1572	56.2043	65.6977	63.3721	48.8372
30	59.7174	51.6359	61.7544	53.3333	41.4035
31	65.4545	62.7350	66.4557	58.8608	45.5696
32	70.2334	62.1064	68.1818	66.2338	53.8961
33	72.6290	63.2425	69.2537	66.8657	55.5224
34	72.3587	68.1441	75.1634	69.9346	57.5163
35	73.6241	67.2750	75.7282	70.5502	55.6634
36	75.2580	70.9541	78.9116	75.5102	57.8231
37	73.5872	70.1409	77.4834	73.5099	55.6291
38	74.4595	71.1291	77.8157	73.7201	57.3379
39	75.0000	68.2965	75.8170	73.2026	57.5163
40	75.4423	68.7038	76.2821	72.4359	58.3333
41	75.1966	74.1381	79.3103	74.4828	62.0690
42	74.8034	72.4760	77.8523	73.8255	59.0604
43	73.5995	72.8813	77.0270	72.2973	59.4595
44	75.6511	70.5514	77.1242	74.5098	58.1699
45	74.8280	66.7969	75.9740	71.4286	58.4416
46	75.0614	70.9648	79.5987	74.2475	62.2074
47	74.8526	70.5782	77.7409	72.4252	59.1362
48	75.3931	70.0737	78.1759	75.5700	65.1466
49	75.6265	70.5069	77.1242	74.5098	62.0915
50	75.3317	64.0175	75.4839	72.2581	61.2903
