epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	18.7960	15.2649	20.7792	17.3160	10.3896
2	20.9467	19.1602	22.5681	15.5642	12.4514
3	38.8073	24.7748	34.6939	29.2517	20.4082
4	48.9775	36.5040	39.5181	34.6988	24.0964
5	51.7672	39.2953	40.4082	33.4694	26.9388
6	56.3305	41.5564	48.8479	44.2396	36.4055
7	64.8155	47.0014	53.1381	48.1172	35.5649
8	67.0099	44.3904	51.6129	49.1935	41.1290
9	66.3460	50.6679	57.6744	55.3488	45.1163
10	69.3006	48.3213	54.5073	52.8302	42.3480
11	73.5573	57.6535	67.1395	61.9385	53.9007
12	75.5516	54.7726	64.5880	60.5791	50.3341
13	70.5881	52.5246	61.6071	57.1429	50.0000
14	68.5465	50.1711	58.0786	53.2751	44.9782
15	75.9879	61.4477	69.7460	64.2032	55.8891
16	73.9275	60.3727	68.3486	64.2202	54.5872
17	73.4224	57.3584	66.0633	61.9910	51.5837
18	77.5692	57.3071	61.2000	57.6000	48.4000
19	75.7320	55.6326	57.5758	55.6818	48.1061
20	76.6390	58.4539	62.1242	57.7154	50.1002
21	78.4092	62.8503	69.8690	65.5022	57.2052
22	74.8087	53.7552	62.3158	56.8421	48.8421
23	76.6098	61.4705	66.1017	63.1356	53.8136
24	77.8595	66.2975	70.6150	66.5148	59.2255
25	75.9055	56.9503	64.3923	60.9808	52.4520
26	74.7563	57.5819	61.8257	58.5062	51.0373
27	75.5302	52.6429	57.5238	55.2381	45.3333
28	72.5541	50.3944	57.7519	55.0388	45.3488
29	55.1263	38.6780	43.5252	41.3669	30.9353
30	73.9635	53.4771	60.7966	57.4423	50.7338
31	75.6246	57.6497	64.4068	61.4407	52.5424
32	78.9279	61.7765	67.8038	63.1130	55.4371
33	77.9419	63.9991	68.1128	64.2082	57.7007
34	79.6107	63.8769	70.5882	66.9683	61.9910
35	79.6245	64.9275	71.0817	67.5497	60.9272
36	80.3168	62.4008	69.9115	66.8142	59.2920
37	79.6219	66.0793	71.7833	68.6230	61.8510
38	80.7952	65.2206	72.8929	71.0706	61.9590
39	79.9577	65.6053	73.9229	69.3878	62.5850
40	79.5171	62.2781	64.7773	61.9433	53.8462
41	79.9028	68.7509	76.3033	72.9858	63.0332
42	80.7531	62.3261	69.8482	67.6790	57.2668
43	81.1542	64.3872	70.1525	67.5381	59.6950
44	80.6689	67.7834	73.4694	72.1088	65.3061
45	81.3758	64.5512	72.1739	70.8696	63.4783
46	80.4834	67.0028	75.1708	72.4374	62.4146
47	80.2626	67.2486	73.8739	69.8198	62.1622
48	81.1842	64.1298	70.8595	66.6667	59.5388
49	80.2687	64.3520	70.5628	67.5325	61.0390
50	82.9587	67.8490	76.5101	72.9306	64.4295
