epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	20.4109	37.5781	33.2648	27.6155	16.1251
2	29.0602	46.6424	45.7907	37.9229	24.5476
3	24.0714	48.6068	44.9635	39.2437	24.8491
4	39.3594	45.5534	43.3047	36.1930	21.8110
5	54.1897	54.8312	52.1502	45.5362	31.6549
6	55.1660	58.3180	53.4449	46.8619	35.2301
7	50.9475	59.2042	53.7955	47.6368	35.2907
8	55.7581	60.8255	56.6944	51.1667	37.3889
9	62.3077	63.8416	59.4980	53.6224	40.9584
10	58.5013	60.7863	55.0199	50.0567	37.4362
11	65.4112	63.7973	61.5759	56.7622	45.0430
12	63.1573	64.8102	58.1051	51.9168	39.5126
13	63.9033	64.5636	59.6332	54.2585	41.9736
14	64.4649	64.8289	61.0946	55.9185	43.4733
15	49.6591	50.5421	44.3486	38.2595	28.2380
16	69.6179	67.4369	65.1322	59.7565	46.8369
17	67.5748	66.5919	63.0233	58.1686	44.6512
18	68.5831	68.5608	65.0229	59.5600	46.9807
19	62.0883	65.9422	63.5446	58.9492	46.0998
20	53.4928	58.9780	52.5337	46.9527	36.4015
21	64.3300	63.8955	59.3929	53.8817	42.5234
22	65.2919	66.5447	60.5204	55.3167	43.6369
23	62.2589	59.9469	58.5160	52.9230	39.8257
24	67.9340	66.7175	64.5273	59.0589	47.0571
25	65.7756	66.6371	63.1996	57.6465	45.5707
26	67.0267	67.5288	65.8719	60.0115	46.5096
27	54.4199	57.3429	54.6407	48.9993	34.5467
28	67.3799	67.5054	64.9175	58.7671	45.1404
29	67.3216	64.3914	61.7318	55.6829	42.7013
30	61.5788	62.6769	57.0686	52.3649	39.8129
31	67.6211	66.5475	62.5173	57.1112	44.3582
32	67.7231	67.2340	63.9271	59.1304	46.5358
33	67.7061	66.7141	63.4682	58.4342	45.8907
34	64.8167	61.6862	58.4024	52.0730	39.0547
35	70.4110	65.9929	64.3847	59.6040	47.3267
36	67.7448	67.4369	61.4993	56.9666	45.7020
37	62.4176	61.3713	55.6032	50.7726	39.6572
38	68.0618	64.1121	59.3793	54.1519	41.8459
39	67.7250	66.1947	60.6354	55.8158	44.1034
40	66.5913	65.1108	61.7869	56.7815	44.8601
41	67.9602	61.4483	60.0963	55.0970	42.7809
42	66.7867	64.7057	58.1151	53.8899	41.8469
43	67.8727	59.9326	55.8820	50.5425	39.5953
44	68.2144	63.3197	54.3056	50.6168	39.2329
45	68.1554	61.3251	52.5774	48.1590	36.7504
46	70.7563	65.9698	58.0784	53.5601	42.0866
47	67.6610	65.6194	61.3294	57.0667	45.9038
48	67.6152	62.4563	57.1429	52.5240	40.3584
49	68.2850	63.8566	56.8262	51.9303	41.1886
50	68.8050	64.5301	52.6218	48.6833	39.0352
