epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	24.6226	9.6351	13.9860	13.9860	11.1888
2	20.4106	11.7130	16.3265	5.4422	0.0000
3	26.6908	15.5056	16.0000	12.0000	2.6667
4	39.7343	37.2967	45.2632	38.9474	18.9474
5	51.9173	60.6385	63.5193	59.2275	38.6266
6	60.2053	69.6474	72.3077	66.9231	49.2308
7	67.3158	73.1082	77.2201	73.3591	54.8263
8	64.5079	70.8320	76.3780	73.2283	58.2677
9	68.6443	77.2650	81.7460	80.9524	62.6984
10	72.7959	79.3114	84.0467	80.1556	64.5914
11	72.9921	81.2641	85.1563	82.0312	73.4375
12	74.5018	83.9208	85.2713	84.4961	69.7674
13	73.6564	81.3540	85.1563	83.5938	67.9687
14	73.0978	82.4061	84.9421	81.0811	70.2703
15	75.8152	85.5233	87.4016	85.8268	76.3780
16	76.4040	83.0619	88.0309	84.9421	72.5869
17	75.5284	81.1651	86.6142	85.8268	69.2913
18	74.6830	79.2551	86.0558	84.4622	70.1195
19	74.4414	78.3460	85.4902	83.1373	68.2353
20	73.4149	83.6857	87.9377	84.8249	67.7043
21	76.1624	84.0429	89.4118	87.8431	74.5098
22	75.2566	84.4225	88.9764	87.4016	71.6535
23	74.9849	82.7705	88.4615	85.3846	70.0000
24	74.1395	81.1936	87.5000	85.1563	72.6562
25	76.2228	84.7376	88.6364	86.3636	68.9394
26	76.9022	81.9393	88.6275	86.2745	74.5098
27	76.6304	82.2666	88.4615	86.9231	70.7692
28	77.4306	84.8269	90.7692	87.6923	70.7692
29	76.7210	82.7135	89.3130	86.2595	73.2824
30	77.3400	83.9183	90.2724	87.9377	73.1518
31	77.3400	87.3266	92.3664	90.8397	73.2824
32	77.0531	88.0734	91.1877	89.6552	75.0958
33	76.5097	85.0635	90.0000	86.9231	72.3077
34	76.8116	84.0621	89.9225	87.5969	72.8682
35	76.4493	84.3034	88.8031	86.4865	70.2703
36	75.9360	86.6836	90.5512	88.1890	74.8031
37	75.9511	85.0484	90.6977	87.5969	75.1938
38	77.5211	85.8045	90.7692	87.6923	73.0769
39	76.7512	85.6189	91.1197	88.8031	73.3591
40	76.6153	87.1032	90.7692	88.4615	73.8462
41	77.0984	84.1347	89.9225	86.8217	73.6434
42	75.2868	84.5866	88.0309	85.7143	70.2703
43	77.5060	83.5674	90.6977	86.8217	74.4186
44	77.8382	85.2371	90.0000	89.2308	73.0769
45	75.4680	85.2218	89.8438	87.5000	77.3438
46	77.9589	86.8091	89.9225	86.8217	72.8682
47	76.8569	85.3017	90.3475	88.8031	76.4479
48	77.9891	82.7793	89.3130	89.3130	74.8092
49	77.3853	86.3651	91.2548	90.4943	74.5247
50	77.0229	86.6394	91.2548	88.2129	73.0038
