epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	20.3506	15.6845	20.7207	17.1171	9.0090
2	30.7612	20.8800	24.8062	17.8295	13.1783
3	49.5929	37.7117	45.3674	39.6166	24.2812
4	49.7461	32.5215	38.0463	33.4190	25.1928
5	62.1769	42.1410	46.9484	41.7840	31.9249
6	66.5585	42.1271	47.8088	43.4263	33.4661
7	69.5716	48.4857	54.4248	50.8850	42.0354
8	72.8145	51.2465	56.9593	53.9615	43.2548
9	69.9335	52.3509	58.3333	57.0175	47.8070
10	74.1938	58.8437	63.1336	59.9078	52.9954
11	76.8806	54.6574	63.8581	60.7539	50.9978
12	73.9276	58.0858	62.8062	58.7973	52.1158
13	77.2288	57.0818	62.5268	60.8137	49.6788
14	79.8800	60.7175	68.4444	65.7778	59.1111
15	81.8438	62.2110	70.1357	67.4208	59.7285
16	80.7169	64.4367	72.4221	70.9832	63.7890
17	72.9020	47.0190	54.2969	50.7812	38.6719
18	80.9294	65.2110	71.3287	68.9977	61.5385
19	82.5367	67.5839	75.0605	71.1864	64.8910
20	83.1949	67.2546	73.1132	70.2830	63.6792
21	81.5238	65.7647	74.8792	72.4638	62.3188
22	82.5412	68.2146	75.0000	69.3396	62.7358
23	83.0007	61.1743	65.9794	61.4433	54.0206
24	84.1549	71.2642	79.3893	75.8270	69.7201
25	81.7508	64.5058	67.8337	63.4573	56.8928
26	83.9771	69.0756	76.4706	72.5490	66.6667
27	83.9553	72.7457	80.5128	77.9487	69.7436
28	83.6626	68.0485	73.2394	70.8920	64.7887
29	83.8860	76.5503	81.2500	78.6458	69.7917
30	84.4065	68.7243	78.1955	76.1905	67.1679
31	84.8542	75.8944	82.9396	79.7900	71.3911
32	85.4650	70.4890	78.7286	76.2836	67.4817
33	84.9107	70.4851	79.0932	77.5819	68.5139
34	86.0631	70.0926	79.5000	78.5000	70.0000
35	85.0320	69.3124	77.9412	75.9804	66.6667
36	86.2737	74.5499	81.2183	80.2030	72.5888
37	84.7767	75.8656	80.0000	78.4615	71.2821
38	84.5469	73.3842	82.7225	80.1047	72.2513
39	84.5679	66.5930	74.8815	72.5118	65.4028
40	83.6389	70.7794	79.0123	76.5432	69.6296
41	81.8793	68.8954	78.4119	75.9305	66.5012
42	79.7241	62.6776	70.1835	68.3486	56.8807
43	67.0070	57.8742	64.0657	59.5483	48.4600
44	81.5411	69.7281	79.5000	76.5000	66.0000
45	75.4757	58.7987	65.3753	61.5012	55.6901
46	74.5421	50.7186	60.6186	55.6701	48.2474
47	82.6680	63.0788	73.9726	69.8630	60.2740
48	80.8628	61.6349	68.9342	64.8526	55.3288
49	83.9853	71.9587	80.4020	77.8894	70.8543
50	86.3211	74.3086	81.9095	79.8995	73.8693
