epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	17.4991	43.0629	36.2242	26.0794	14.1532
2	34.5154	45.9593	42.2787	32.0919	18.0067
3	36.0639	44.7546	43.0466	34.0164	19.6603
4	37.7315	52.3140	47.4450	38.3792	26.2114
5	44.7609	51.2575	49.0451	40.9403	26.8119
6	52.8032	55.9290	52.9398	44.2472	31.3581
7	55.7471	55.8587	54.2774	46.3378	32.5247
8	49.8449	55.9494	52.5741	44.5552	30.7473
9	57.1938	60.9743	58.7028	50.3266	35.7676
10	50.0505	53.0700	49.7788	41.0437	27.5440
11	54.4080	56.4016	52.9634	44.9845	31.6405
12	55.5741	60.9750	57.3322	48.6568	34.6087
13	57.8702	62.4617	60.4843	52.8329	37.5061
14	60.6521	62.7357	61.9568	53.6835	39.2052
15	56.1285	62.5324	60.0115	52.5445	38.1850
16	54.6847	59.1406	57.8684	50.5246	34.5255
17	57.1453	62.1521	59.2514	50.8915	35.7539
18	58.1802	63.9325	61.6932	52.1983	36.0851
19	56.3650	61.9303	60.4157	51.1573	36.2069
20	56.7702	59.8019	58.1029	49.8089	35.4012
21	61.1075	63.7053	63.1840	55.0999	40.0662
22	60.3280	63.9378	63.3798	55.8207	40.0242
23	61.5189	64.6765	64.8662	56.7519	41.3325
24	55.9932	59.4130	56.9670	48.0028	33.5346
25	61.2867	67.0321	66.0408	57.3193	41.0377
26	62.5444	67.7130	67.1118	58.9763	43.8427
27	63.3216	67.5606	66.3288	58.8332	43.6771
28	51.5747	63.6367	60.6667	52.0454	37.4649
29	64.5430	67.2563	67.9141	59.9469	44.8817
30	57.9408	62.0578	58.3775	51.1639	36.2987
31	62.4109	66.7114	67.2916	59.6175	43.8445
32	63.2311	65.8091	66.2102	57.7057	42.4745
33	62.9317	68.0767	67.0448	58.6611	42.8307
34	64.5323	68.9523	69.2041	61.8150	45.5740
35	62.0038	67.5174	65.2305	57.6243	41.9545
36	63.5875	67.8274	68.1472	60.2454	44.3190
37	63.8915	67.3000	67.1704	59.1762	44.0653
38	65.0723	69.0879	69.1822	60.7943	46.0473
39	65.3307	68.8255	69.0323	62.5651	46.6271
40	61.7483	68.2134	67.3893	59.5429	43.8973
41	63.0545	67.7263	67.5683	59.6562	44.8433
42	62.1651	65.3306	65.2079	57.5492	43.5449
43	66.6088	67.9848	69.3247	62.3038	48.1460
44	65.1829	69.2084	69.3389	62.1532	47.9042
45	59.8934	61.7262	62.6162	55.1823	39.2185
46	63.2815	70.4695	69.5996	61.0727	46.2926
47	64.4079	67.3540	68.0993	60.0409	44.8196
48	67.3959	69.4156	70.1256	62.6130	48.5033
49	65.7039	69.7070	69.6383	61.1862	46.6935
50	64.5986	70.8738	70.4537	62.6476	47.6321
