epoch	accu	edit	F1@0.1	F1@0.25	F1@0.5
1	22.8501	0.0000	0.0000	0.0000	0.0000
2	32.4447	7.9934	13.8889	11.1111	2.7778
3	32.0885	18.9324	22.2222	18.5185	4.9383
4	45.2948	42.8549	47.8049	40.0000	30.2439
5	50.1720	61.7760	56.7797	51.6949	37.2881
6	57.4693	66.3466	63.5294	55.6863	43.1373
7	63.9926	68.5330	68.1818	60.6061	50.7576
8	67.6781	71.0145	71.9697	67.4242	52.2727
9	62.6536	67.3576	67.7043	63.8132	46.6926
10	69.8894	71.2748	73.1343	68.6567	53.7313
11	71.8059	75.3955	76.4706	74.2647	62.5000
12	71.8305	70.6661	75.3846	73.8462	59.2308
13	72.4570	72.1073	77.3946	73.5632	57.4713
14	75.1474	74.7426	76.9231	74.1259	55.9441
15	74.6192	75.7723	79.4007	73.4082	59.9251
16	71.3759	71.3604	75.0958	72.7969	59.0038
17	73.7838	77.5697	81.5094	79.2453	61.1321
18	75.8722	77.2364	81.0036	78.1362	60.9319
19	75.1229	80.8555	83.1461	79.4007	63.6704
20	73.5749	77.5498	80.2974	78.8104	62.4535
21	76.4496	83.2484	84.8485	81.0606	62.8788
22	75.6757	78.1786	83.3333	79.5455	62.8788
23	74.5086	72.0159	79.5539	77.3234	58.7361
24	73.7592	75.4563	79.5455	76.5152	58.3333
25	75.3686	78.1016	82.3970	80.1498	61.4232
26	74.2260	74.6980	78.8104	76.5799	61.7100
27	76.3022	80.7188	85.5019	82.5279	62.4535
28	75.6511	78.8307	84.5283	82.2642	61.1321
29	76.8796	79.9468	81.1808	79.7048	63.4686
30	77.0516	75.0502	78.5714	77.1429	62.8571
31	77.4201	81.3967	88.3895	85.3933	67.4157
32	78.3047	78.2888	84.9624	83.4586	67.6692
33	77.9607	83.3688	88.0597	85.8209	67.1642
34	77.3464	78.8891	84.6442	83.8951	64.4195
35	76.7322	76.2700	85.0746	84.3284	62.6866
36	76.2162	76.1880	82.5279	80.2974	62.4535
37	77.5184	77.1419	83.7037	82.2222	64.4444
38	77.7396	83.8480	87.8229	86.3469	63.4686
39	78.0958	80.4426	85.3846	82.3077	63.0769
40	79.1155	81.3958	87.3563	86.5900	65.9004
41	77.4816	79.4988	84.6442	83.1461	62.1723
42	78.8943	80.9629	86.6920	85.1711	63.8783
43	78.3907	81.8057	87.4525	85.1711	66.1597
44	78.0221	81.1780	86.5900	85.0575	66.6667
45	78.3538	80.4964	86.3813	84.0467	69.2607
46	79.0909	83.8735	87.9699	85.7143	68.4211
47	78.4644	80.3023	88.0309	84.1699	69.4981
48	78.6978	80.5857	86.2595	85.4962	65.6489
49	78.4152	79.8110	85.2830	84.5283	67.1698
50	78.9681	76.2696	84.7059	83.9216	68.2353
